"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2977","test_create_user_via_api","tests","Thu Jul 17 14:50:01 GMT 2025","passed","Thu Jul 17 14:50:04 GMT 2025","TestOrangeHRM","test_user_flow","",""
"","2007","test_delete_user_via_ui","tests","Thu Jul 17 14:50:05 GMT 2025","passed","Thu Jul 17 14:50:07 GMT 2025","TestOrangeHRM","test_user_flow","",""
