"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2060","test_delete_user_via_ui","tests","Thu Jul 17 14:36:10 GMT 2025","passed","Thu Jul 17 14:36:12 GMT 2025","TestOrangeHRM","test_user_flow","",""
"","2942","test_create_user_via_api","tests","Thu Jul 17 14:36:06 GMT 2025","passed","Thu Jul 17 14:36:09 GMT 2025","TestOrangeHRM","test_user_flow","",""
